CID,Name,n_maps,selected_idx,removed_indices,coverage_frac,range,mean_active,std_active,composite_score,score_diff,close_call,z_coverage,z_range,z_mean
12297,2-hexanol,1,0,,0.29290550485722694,7.6964,0.7553275376884422,0.5550978823599219,0.0,,False,,,
12348,amyl acetate,1,0,,0.27583161613188106,11.8125,0.798698719316969,0.6311386542719299,0.0,,False,,,
12367,2-nonanol,1,0,,0.3011480718280836,5.7287,0.6397978494623655,0.5288884126869807,0.0,,False,,,
12370,1-octyne,1,0,,0.3067412422725935,4.753,0.7169135316698657,0.4378930792805124,0.0,,False,,,
12377,dipropyl disulfide,1,0,,0.27465410656461586,7.879,0.7250073954983923,0.704836009076023,0.0,,False,,,
12388,tridecane,1,0,,0.29997056226081836,7.5338,0.5513301275760549,0.5062962146633307,0.0,,False,,,
12389,tetradecane,1,0,,0.29673241095083897,8.5491,0.6175737103174603,0.5460380804221938,0.0,,False,,,
12391,pentadecane-acros,7,4,"0,1,2,3,5,6",0.33500147188695906,10.1721,0.6042159050966608,0.4993373264543851,4.390144212666367,3.364938296412868,False,1.7313512974809597,2.1509689082315426,-1.0156480139077293
12508,isopropyl propionate,1,0,,0.20194289078598765,8.0547,0.9566981049562684,0.8453987075195402,0.0,,False,,,
12741,2-decanone,2,1,0,0.29231675007359437,9.8809,0.6853573011077543,0.6425374881007886,0.3535533905932773,0.7071067811865474,False,-0.7071067811865343,0.7071067811865474,-0.7071067811865284
12844,delta-dodecanalactone,1,0,,0.31321754489255227,9.8216,0.574209022556391,0.5180232095866683,0.0,,False,,,
13162,8-pentadecanone,1,0,,0.3311745657933471,10.754,0.4998366222222222,0.4490081568715794,0.0,,False,,,
13187,2-nonanone,3,0,"1,2",0.3220488666470415,7.1104,0.639320201096892,0.4617371995293535,1.0726537450975895,0.5399514751534668,False,0.5346282774891815,1.0615858331609351,1.0471207311050543
13207,acetylcyclohexane,1,0,,0.2905504857226965,6.02,0.8357649442755825,0.6326332429842314,0.0,,False,,,
13398,"3,3,5-trimethylcyclohexanone",1,0,,0.29643803355902265,5.395,0.7616758689175769,0.5872240997780098,0.0,,False,,,
13546,methyl 3-methylbutenoate,1,0,,0.2826022961436562,6.23,0.8764791666666666,0.6736861438379935,0.0,,False,,,
14066,3-acetyl-1-propanol,1,0,,0.31645569620253167,11.21,0.5162596372093023,0.5092438339379951,0.0,,False,,,
14257,undecane,1,0,,0.3055637327053282,6.3852,0.6467656069364162,0.5182698191254691,0.0,,False,,,
14286,2-acetylpyridine,1,0,,0.2808360317927583,6.0507,0.7099172955974843,0.605441471033834,0.0,,False,,,
14296,"2,3,5,6-tetramethylpyrazine",1,0,,0.3102737709743892,8.634,0.6151964705882353,0.5498597736788207,0.0,,False,,,
15448,2-undecanol,1,0,,0.33058581100971446,10.9337,0.5062056099732858,0.4637633486565429,0.0,,False,,,
15600,decane,1,0,,0.2867235796290845,6.1726,0.6213465092402465,0.5328890000255064,0.0,,False,,,
16029,4-octyne,1,0,,0.31969384751251106,5.807,0.6696197974217312,0.49683130970230877,0.0,,False,,,
16275,cyclohexanecarboxaldehyde,1,0,,0.3037974683544304,7.32,0.7410658914728682,0.5691653990469442,0.0,,False,,,
16301,diethyl suberate,1,0,,0.28701795702090077,6.0541,0.6640403076923077,0.6478669013402468,0.0,,False,,,
16666,L-menthol,2,1,0,0.32734765969973506,14.6212,0.546381654676259,0.5523031484546739,1.0606601717798214,2.121320343559643,False,0.7071067811865476,0.7071067811865476,0.7071067811865475
17008,methyl isocaproate,1,0,,0.2696496909037386,5.26,0.826735807860262,0.705754064244866,0.0,,False,,,
17769,2-octyne,1,0,,0.3020312040035325,5.661,0.7552619103313839,0.5348703616815176,0.0,,False,,,
18554,2-ethylfuran,1,0,,0.3105681483662055,8.4469,0.597094691943128,0.47177149568667315,0.0,,False,,,
19309,"2,5-dimethyl-4-hydroxy-3-(2H)-furanone",1,0,,0.31086252575802176,9.3997,0.628061268939394,0.5556702231876429,0.0,,False,,,
19460,"1,7-octadiene",1,0,,0.3040918457462467,5.881,0.7221562342691191,0.48338078068914064,0.0,,False,,,
19707,"2,3-hexanedione",1,0,,0.28525169267000294,9.068,0.7573848194014448,0.6179508934881812,0.0,,False,,,
